id,indra_time,reading_time,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gama,mid-gama,signal_quality
2,2015-05-0923:14:42.703,2015-05-0916:14:41.782,143441.0,42778.0,54259.0,36754.0,12332.0,9391.0,5913.0,2548.0,200
12,2015-05-0923:14:43.132,2015-05-0916:14:41.712,758228.0,118598.0,48361.0,145363.0,32354.0,145603.0,38679.0,45002.0,200
5,2015-05-0923:14:43.277,2015-05-0916:14:42.346,972473.0,277467.0,357353.0,159728.0,233115.0,380573.0,504251.0,218293.0,200
2,2015-05-0923:14:43.607,2015-05-0916:14:42.764,2040553.0,189517.0,34660.0,21959.0,49821.0,32762.0,11914.0,15304.0,200
12,2015-05-0923:14:44.034,2015-05-0916:14:42.696,2135733.0,394214.0,84453.0,47975.0,220112.0,201018.0,156303.0,90227.0,200
5,2015-05-0923:14:44.181,2015-05-0916:14:43.359,2085660.0,1311805.0,700787.0,497278.0,518128.0,736391.0,433617.0,431993.0,200
12,2015-05-0923:14:44.936,2015-05-0916:14:43.702,929527.0,1732625.0,402447.0,90196.0,567941.0,602642.0,352038.0,270279.0,200
2,2015-05-0923:14:44.954,2015-05-0916:14:43.750,1002625.0,95945.0,25293.0,19153.0,9040.0,13377.0,8988.0,5499.0,200
5,2015-05-0923:14:45.386,2015-05-0916:14:44.350,626040.0,848180.0,367586.0,673663.0,288752.0,397492.0,156299.0,257322.0,200
8,2015-05-0923:14:45.817,2015-05-0916:14:45.592,124849.0,40990.0,12054.0,4747.0,9062.0,2498.0,477.0,175.0,25
2,2015-05-0923:14:45.864,2015-05-0916:14:44.769,1506219.0,1000077.0,298314.0,403475.0,555004.0,318034.0,194710.0,99814.0,200
12,2015-05-0923:14:46.140,2015-05-0916:14:44.699,614426.0,102074.0,356159.0,144075.0,105285.0,135011.0,44034.0,40927.0,200
5,2015-05-0923:14:46.290,2015-05-0916:14:45.329,2380413.0,93130.0,500721.0,278562.0,302694.0,253843.0,136525.0,88846.0,200
8,2015-05-0923:14:46.424,2015-05-0916:14:46.586,146280.0,61896.0,47702.0,30254.0,36705.0,26642.0,8717.0,2101.0,25
2,2015-05-0923:14:46.777,2015-05-0916:14:45.748,316503.0,148238.0,98500.0,94615.0,83077.0,25201.0,19147.0,6243.0,200
12,2015-05-0923:14:47.045,2015-05-0916:14:45.686,2113895.0,488172.0,20758.0,91167.0,209288.0,463187.0,387942.0,515795.0,200
5,2015-05-0923:14:47.194,2015-05-0916:14:46.341,1104195.0,552545.0,93167.0,123029.0,62577.0,120952.0,97200.0,24900.0,200
8,2015-05-0923:14:47.327,2015-05-0916:14:47.588,185654.0,33246.0,5496.0,18008.0,4946.0,7112.0,1248.0,563.0,0
2,2015-05-0923:14:47.551,2015-05-0916:14:46.732,1571542.0,198815.0,107018.0,56695.0,33163.0,156618.0,18543.0,6093.0,200
12,2015-05-0923:14:47.948,2015-05-0916:14:46.685,792976.0,254025.0,104354.0,42965.0,29093.0,39568.0,28558.0,13965.0,200
5,2015-05-0923:14:48.098,2015-05-0916:14:47.302,70644.0,22644.0,5603.0,31706.0,68432.0,42142.0,34234.0,23330.0,200
8,2015-05-0923:14:48.537,2015-05-0916:14:48.587,67075.0,18337.0,18521.0,6884.0,4322.0,2863.0,1472.0,1197.0,0
2,2015-05-0923:14:48.765,2015-05-0916:14:47.735,41030.0,43898.0,9008.0,21494.0,11477.0,11858.0,17599.0,4613.0,200
12,2015-05-0923:14:48.851,2015-05-0916:14:47.677,729775.0,1635929.0,144032.0,417458.0,264108.0,534813.0,342031.0,317463.0,200
5,2015-05-0923:14:49.302,2015-05-0916:14:48.302,2104800.0,307263.0,514845.0,401733.0,1329790.0,819703.0,668349.0,510332.0,200
8,2015-05-0923:14:49.448,2015-05-0916:14:49.561,35799.0,45197.0,20011.0,13005.0,19378.0,12831.0,4085.0,2972.0,0
2,2015-05-0923:14:49.667,2015-05-0916:14:48.738,1285173.0,1727901.0,526655.0,294472.0,627531.0,194961.0,216956.0,187703.0,200
12,2015-05-0923:14:50.053,2015-05-0916:14:48.675,1585377.0,171593.0,27350.0,39890.0,49672.0,56480.0,34420.0,29066.0,200
5,2015-05-0923:14:50.207,2015-05-0916:14:49.302,1727504.0,122617.0,71863.0,127983.0,73068.0,44923.0,18314.0,52502.0,200
8,2015-05-0923:14:50.354,2015-05-0916:14:50.556,20343.0,6183.0,1332.0,9197.0,3286.0,4969.0,1181.0,1288.0,0
2,2015-05-0923:14:50.566,2015-05-0916:14:49.715,747981.0,156532.0,45213.0,92390.0,154327.0,90024.0,40215.0,54188.0,200
12,2015-05-0923:14:50.957,2015-05-0916:14:49.660,653319.0,253605.0,69122.0,78970.0,147335.0,90410.0,89112.0,134791.0,51
5,2015-05-0923:14:51.111,2015-05-0916:14:50.290,66626.0,11054.0,4477.0,11049.0,16773.0,8466.0,8853.0,12997.0,200
8,2015-05-0923:14:51.260,2015-05-0916:14:51.541,49227.0,75150.0,54641.0,15194.0,12879.0,9884.0,3794.0,1631.0,0
2,2015-05-0923:14:51.775,2015-05-0916:14:50.748,565153.0,293160.0,41608.0,83972.0,133786.0,240772.0,64664.0,36669.0,200
12,2015-05-0923:14:51.861,2015-05-0916:14:50.681,1147879.0,75553.0,13672.0,8364.0,7860.0,5429.0,1493.0,678.0,25
5,2015-05-0923:14:52.316,2015-05-0916:14:51.303,1523316.0,1393771.0,170539.0,600589.0,550772.0,547617.0,487639.0,369022.0,200
8,2015-05-0923:14:52.474,2015-05-0916:14:52.557,1703762.0,311869.0,22858.0,26111.0,23452.0,26262.0,5782.0,3853.0,0
2,2015-05-0923:14:52.682,2015-05-0916:14:51.718,276545.0,179173.0,320265.0,309187.0,180028.0,137048.0,101499.0,107883.0,200
12,2015-05-0923:14:53.066,2015-05-0916:14:51.664,391317.0,79047.0,21170.0,12477.0,12227.0,18995.0,9174.0,15908.0,51
5,2015-05-0923:14:53.218,2015-05-0916:14:52.291,876057.0,141274.0,58374.0,56899.0,96381.0,110085.0,74560.0,25160.0,200
8,2015-05-0923:14:53.388,2015-05-0916:14:53.540,157610.0,85476.0,5910.0,40500.0,20758.0,15732.0,5526.0,2793.0,0
2,2015-05-0923:14:53.589,2015-05-0916:14:52.717,1353591.0,1035990.0,151578.0,104166.0,254140.0,142026.0,164846.0,80053.0,200
12,2015-05-0923:14:53.970,2015-05-0916:14:52.664,1279755.0,247902.0,33007.0,50627.0,95955.0,59220.0,20509.0,26249.0,51
5,2015-05-0923:14:54.120,2015-05-0916:14:53.308,787733.0,164003.0,106097.0,40439.0,179416.0,204471.0,98979.0,77132.0,200
8,2015-05-0923:14:54.296,2015-05-0916:14:54.535,10056.0,32205.0,6588.0,7833.0,4404.0,11116.0,3185.0,1446.0,0
2,2015-05-0923:14:54.797,2015-05-0916:14:53.717,249187.0,160157.0,66539.0,50056.0,45084.0,45108.0,19478.0,7329.0,200
12,2015-05-0923:14:54.875,2015-05-0916:14:53.649,1109849.0,112416.0,139111.0,58091.0,67118.0,37642.0,25856.0,23694.0,51
5,2015-05-0923:14:55.323,2015-05-0916:14:54.290,533543.0,20763.0,2110.0,18314.0,13153.0,22091.0,19740.0,11181.0,25
8,2015-05-0923:14:55.506,2015-05-0916:14:55.525,17089.0,34099.0,4816.0,4124.0,8606.0,6677.0,2459.0,3450.0,0
2,2015-05-0923:14:55.705,2015-05-0916:14:54.699,544091.0,68205.0,37497.0,7700.0,10722.0,12823.0,6387.0,4268.0,200
12,2015-05-0923:14:56.082,2015-05-0916:14:54.633,1166528.0,111485.0,82644.0,116837.0,32313.0,45096.0,11617.0,4941.0,51
5,2015-05-0923:14:56.227,2015-05-0916:14:55.300,1084562.0,62691.0,15911.0,61650.0,16567.0,28351.0,21990.0,20273.0,51
8,2015-05-0923:14:56.411,2015-05-0916:14:56.541,8523.0,5423.0,5193.0,3461.0,7006.0,4823.0,2568.0,1258.0,0
2,2015-05-0923:14:56.672,2015-05-0916:14:55.700,1915023.0,151966.0,66786.0,45791.0,53490.0,53520.0,26483.0,18305.0,200
12,2015-05-0923:14:56.986,2015-05-0916:14:55.651,1313701.0,440920.0,18034.0,25360.0,40014.0,114447.0,97967.0,55414.0,51
5,2015-05-0923:14:57.131,2015-05-0916:14:56.259,1001027.0,409913.0,334465.0,498363.0,417588.0,236450.0,340709.0,157526.0,51
